Driver	DRIVER_MODULE	probe/attach	ID_table	man4	bus_types
nvd                 	   	   	   	yes	
nvdimm              	yes	   	   	yes	acpi
nvme                	yes	   	   	yes	
nvram               	   	   	   	yes	
oce                 	yes	   	yes	yes	acpi,pci
ocs_fc              	yes	   	yes	yes	ofw,pci
ofw                 	yes	   	   	   	ofw,pci
otus                	yes	   	yes	yes	usb
ow                  	yes	   	   	yes	ofw
p2sb                	yes	   	   	   	
pbio                	yes	   	   	   	isa
pccbb               	yes	   	   	yes	
pcf                 	yes	   	   	yes	iic,isa
pci                 	yes	   	   	yes	acpi,isa,ofw,pci
pms                 	yes	   	   	yes	
powermac_nvram      	yes	   	   	   	ofw
ppbus               	yes	   	   	yes	iic
ppc                 	yes	   	   	yes	acpi,isa
proto               	yes	   	   	yes	isa
pst                 	yes	   	   	yes	
pty                 	   	   	   	yes	
puc                 	yes	   	   	yes	
pwm                 	yes	   	   	   	ofw
qat                 	   	   	yes	yes	mmc,pci
qat_c2xxx           	yes	   	   	yes	
qcom_dwc3           	yes	   	   	   	ofw
qcom_qup            	yes	   	   	   	ofw,spi
qcom_rnd            	yes	   	   	   	ofw
qlnx                	yes	   	   	   	acpi,spi
qlxgb               	yes	   	   	yes	
qlxgbe              	yes	   	   	yes	ofw
qlxge               	yes	   	   	yes	
quicc               	yes	   	   	   	ofw
ral                 	yes	   	   	yes	
random              	   	   	   	yes	
rccgpio             	yes	   	   	yes	isa
re                  	yes	   	   	yes	
rl                  	yes	   	   	yes	
rndtest             	   	   	   	yes	
rtsx                	yes	   	   	yes	mmc
rtwn                	yes	   	yes	yes	usb
safe                	yes	   	   	yes	
safexcel            	yes	   	   	yes	ofw
sbni                	yes	   	   	   	isa
scc                 	yes	   	   	yes	ofw
sdhci               	yes	yes	   	yes	acpi,mmc,ofw
sec                 	yes	   	   	   	ofw
sfxge               	yes	   	yes	yes	pci,spi
sge                 	yes	   	   	yes	
siis                	yes	   	   	yes	
sis                 	yes	   	   	yes	
sk                  	yes	   	   	yes	
smartpqi            	yes	   	   	yes	spi
smbios              	yes	   	   	yes	
smbus               	yes	   	   	yes	
smc                 	yes	   	   	   	acpi,ofw
snp                 	   	   	   	yes	
sound               	yes	   	yes	   	acpi,iic,ofw,spi,usb
spibus              	yes	   	   	   	acpi,ofw,spi
ste                 	yes	   	   	yes	
stge                	yes	   	   	yes	
sume                	yes	   	   	yes	
superio             	yes	   	   	yes	isa
sym                 	yes	   	   	yes	spi
syscons             	   	   	   	yes	
tdfx                	yes	   	   	yes	
ti                  	yes	   	   	yes	
tpm                 	yes	   	   	yes	acpi,isa
tsec                	yes	   	   	   	ofw
tws                 	yes	   	   	yes	
uart                	yes	yes	   	yes	acpi,isa,ofw
usb                 	yes	yes	yes	yes	acpi,iic,ofw,usb
vge                 	yes	   	   	yes	
viapm               	yes	   	   	yes	iic,isa
viawd               	yes	   	   	yes	
virtio              	yes	   	   	yes	acpi,ofw
vkbd                	   	   	   	yes	
vmd                 	yes	   	   	yes	
vmgenc              	yes	   	   	   	acpi
vmware              	yes	   	   	   	
vnic                	yes	   	   	   	ofw
vr                  	yes	   	   	yes	
vt                  	yes	   	   	yes	acpi,ofw
vte                 	yes	   	   	yes	
watchdog            	   	   	   	yes	
wbwd                	yes	   	   	yes	
wdatwd              	yes	   	   	yes	acpi
wg                  	   	   	   	yes	
wpi                 	yes	   	   	yes	
xdma                	yes	   	   	yes	ofw
xen                 	yes	   	   	yes	acpi
xilinx              	yes	   	   	   	ofw,spi
xl                  	yes	   	   	yes	
